S.No.,State,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
1,Andhra Pradesh,"Agriculture, forestry and fishing",9400805,11186428,12895568,14819416,17326726,20386004
1.1,Andhra Pradesh,Crops,5204052,6123041,7114707,7893514,8644285,9717089
1.2,Andhra Pradesh,Livestock,2758776,3358438,3643026,4309078,5155487,5979648
1.3,Andhra Pradesh,Forestry and logging,250314,253029,280493,346160,340550,335487
1.4,Andhra Pradesh,Fishing and aquaculture,1187663,1451920,1857342,2270664,3186404,4353780
2,Andhra Pradesh,Mining and quarrying,1416194,1459027,1419200,1484300,1633100,1757565
Total,Andhra Pradesh,Primary,10816999,12645455,14314768,16303716,18959826,22143569
3,Andhra Pradesh,Manufacturing,5070622,4237657,4242337,4672266,5078685,5740816
4,Andhra Pradesh,"Electricity, gas, water supply & other utility services",1076517,713029,1014130,1151729,1251910,1298947
5,Andhra Pradesh,Construction,3702645,3759004,4065131,4664889,4986189,5467732
Total,Andhra Pradesh,Secondary,9849784,8709690,9321598,10488884,11316784,12507496
6,Andhra Pradesh,"Trade, repair, hotels and restaurants",2673600,3179200,3784900,4233400,4577700,5174600
6.1,Andhra Pradesh,Trade & repair services,2322700,2775600,3290800,3716000,3964000,4382200
6.2,Andhra Pradesh,Hotels & restaurants,350900,403600,494100,517400,613700,792400
7,Andhra Pradesh,"Transport, storage, communication & services related to broadcasting",3251379,3778632,4365811,5076984,5806226,6766317
7.1,Andhra Pradesh,Railways,264279,303702,334468,424228,436596,445372
7.2,Andhra Pradesh,Road transport,1824800,2200400,2516200,2816000,3217400,3798300
7.3,Andhra Pradesh,Water transport,95100,90400,60600,94200,110500,123600
7.4,Andhra Pradesh,Air transport,4500,10600,5100,14900,25000,28000
7.5,Andhra Pradesh,Services incidental to transport,501800,535500,634700,780200,904200,1020800
7.6,Andhra Pradesh,Storage,20700,16600,18700,18700,19000,20600
7.7,Andhra Pradesh,Communication & services related to broadcasting,540200,621430,796043,928756,1093530,1329645
8,Andhra Pradesh,Financial services,1425608,1584297,1710463,1900863,2125508,2415390
9,Andhra Pradesh,"Real estate, ownership of dwelling & professional services",2833805,3434098,3897345,4405409,5092310,5942431
10,Andhra Pradesh,Public administration,1393752,1552379,1738971,2200897,2594904,3039676
11,Andhra Pradesh,Other services,2730376,3063920,3538298,4215389,5248604,6180240
Total,Andhra Pradesh,Tertiary,14308520,16592526,19035788,22032942,25445252,29518654
12,Andhra Pradesh,TOTAL GSVA at basic prices,34975303,37947671,42672154,48825542,55721862,64169719
13,Andhra Pradesh,Taxes on Products,4243900,4656500,5263500,5512100,6719300,7236500
14,Andhra Pradesh,Subsidies on products,1279000,1463800,1508500,1690800,1447800,1475500
15,Andhra Pradesh,Gross State Domestic Product,37940203,41140371,46427154,52646842,60993362,69930719
16,Andhra Pradesh,Population ('00),492750,495660,498570,501510,504460,507430
17,Andhra Pradesh,Per Capita GSDP (Rs.),76997,83001,93121,104977,120908,137814
1,Arunachal Pradesh,"Agriculture, forestry and fishing",455505,545406,603944,686117,744726,
1.1,Arunachal Pradesh,Crops,255815,331962,360344,415520,431318,
1.2,Arunachal Pradesh,Livestock,29657,24249,34027,38387,44386,
1.3,Arunachal Pradesh,Forestry and logging,165510,183780,204038,224017,258676,
1.4,Arunachal Pradesh,Fishing and aquaculture,4523,5415,5535,8193,10346,
2,Arunachal Pradesh,Mining and quarrying,23022,35024,43616,30842,38068,
Total,Arunachal Pradesh,Primary,478527,580430,647560,716959,782794,
3,Arunachal Pradesh,Manufacturing,12900,14827,19714,26120,37743,
4,Arunachal Pradesh,"Electricity, gas, water supply & other utility services",69131,78766,89594,113527,139187,
5,Arunachal Pradesh,Construction,104529,107821,124594,147842,161705,
Total,Arunachal Pradesh,Secondary,186560,201414,233902,287489,338635,
6,Arunachal Pradesh,"Trade, repair, hotels and restaurants",59892,50878,70494,60421,65846,
6.1,Arunachal Pradesh,Trade & repair services,56921,47880,67273,56796,62044,
6.2,Arunachal Pradesh,Hotels & restaurants,2971,2998,3221,3625,3802,
7,Arunachal Pradesh,"Transport, storage, communication & services related to broadcasting",23420,27306,33414,35203,42833,
7.1,Arunachal Pradesh,Railways,30,34,47,59,65,
